,ROB,IQ,WIDTH,IPC
1579,256,8,3,2.928257687
1580,256,8,4,3.699593045
1581,256,8,5,4.133939644
1582,256,8,6,4.224757076
1583,256,8,7,4.194630872
1584,256,8,8,4.201680672
1585,256,8,9,4.212299916
1586,256,8,10,4.432624113
1587,256,8,11,4.512635379
1588,256,8,12,4.494382022
1589,256,8,13,4.498425551
1590,256,8,14,4.482294935
1591,256,8,15,4.543389368
1592,256,8,16,4.576659039
1593,256,8,17,4.627487274
1594,256,8,18,4.606172271
1595,256,8,19,4.621072089
1558,256,4,1,0.998901209
1559,256,4,2,1.945525292
1560,256,4,3,2.525252525
1561,256,4,4,2.525252525
1562,256,4,5,2.413709872
1563,256,4,6,2.62605042
1564,256,4,7,2.653223667
1565,256,4,8,2.637826431
1566,256,4,9,2.658160553
1567,256,4,10,2.705627706
1568,256,4,11,2.7100271
1569,256,4,12,2.718868951
1570,256,4,13,2.750275028
1571,256,4,14,2.744237102
1572,256,4,15,2.750275028
1573,256,4,16,2.75558005
1574,256,4,17,2.759381898
1575,256,4,18,2.777006387
1576,256,4,19,2.78551532
1539,256,2,1,0.998901209
1540,256,2,2,1.587301587
1541,256,2,3,1.457938475
1542,256,2,4,1.601537476
1543,256,2,5,1.55159038
1544,256,2,6,1.622060016
1545,256,2,7,1.597188947
1546,256,2,8,1.628399284
1547,256,2,9,1.620482904
1548,256,2,10,1.639344262
1549,256,2,11,1.629195178
1550,256,2,12,1.647989453
1551,256,2,13,1.642036125
1552,256,2,14,1.647446458
1553,256,2,15,1.646361541
1554,256,2,16,1.653986107
1555,256,2,17,1.647989453
1556,256,2,18,1.655629139
1557,256,2,19,1.655903295
1520,256,1,1,0.998901209
1521,256,1,2,0.99930049
1522,256,1,3,0.99930049
1523,256,1,4,0.99930049
1524,256,1,5,0.99930049
1525,256,1,6,0.99930049
1526,256,1,7,0.99930049
1527,256,1,8,0.99930049
1528,256,1,9,0.99930049
1529,256,1,10,0.99930049
1530,256,1,11,0.99930049
1531,256,1,12,0.99930049
1532,256,1,13,0.99930049
1533,256,1,14,0.99930049
1534,256,1,15,0.99930049
1535,256,1,16,0.99930049
1536,256,1,17,0.99930049
1537,256,1,18,0.99930049
1538,256,1,19,0.99930049
1501,128,512,1,0.998901209
1502,128,512,2,1.993620415
1503,128,512,3,2.984183826
1504,128,512,4,3.969829297
1505,128,512,5,4.948045522
1506,128,512,6,5.793742758
1507,128,512,7,6.381620932
1508,128,512,8,6.793478261
1509,128,512,9,7.097232079
1510,128,512,10,7.256894049
1511,128,512,11,7.352941176
1512,128,512,12,7.462686567
1513,128,512,13,7.530120482
1514,128,512,14,7.507507508
1515,128,512,15,7.530120482
1516,128,512,16,7.56429652
1517,128,512,17,7.61614623
1518,128,512,18,7.610350076
1519,128,512,19,7.651109411
1482,128,256,1,0.998901209
1483,128,256,2,1.993620415
1484,128,256,3,2.984183826
1485,128,256,4,3.969829297
1486,128,256,5,4.948045522
1487,128,256,6,5.793742758
1488,128,256,7,6.381620932
1489,128,256,8,6.793478261
1490,128,256,9,7.097232079
1491,128,256,10,7.256894049
1492,128,256,11,7.352941176
1493,128,256,12,7.462686567
1494,128,256,13,7.530120482
1495,128,256,14,7.507507508
1496,128,256,15,7.530120482
1497,128,256,16,7.56429652
1498,128,256,17,7.61614623
1499,128,256,18,7.610350076
1500,128,256,19,7.651109411
1463,128,128,1,0.998901209
1464,128,128,2,1.993620415
1465,128,128,3,2.984183826
1466,128,128,4,3.969829297
1467,128,128,5,4.948045522
1468,128,128,6,5.793742758
1469,128,128,7,6.381620932
1470,128,128,8,6.793478261
1471,128,128,9,7.097232079
1472,128,128,10,7.256894049
1473,128,128,11,7.352941176
1474,128,128,12,7.462686567
1475,128,128,13,7.530120482
1476,128,128,14,7.507507508
1477,128,128,15,7.530120482
1478,128,128,16,7.56429652
1479,128,128,17,7.61614623
1480,128,128,18,7.610350076
1481,128,128,19,7.651109411
1444,128,64,1,0.998901209
1445,128,64,2,1.993620415
1446,128,64,3,2.984183826
1447,128,64,4,3.969829297
1448,128,64,5,4.948045522
1449,128,64,6,5.793742758
1450,128,64,7,6.381620932
1451,128,64,8,6.793478261
1452,128,64,9,7.097232079
1453,128,64,10,7.256894049
